Sigla,Codigo,Municipio,pop,fundo_municipal,desp_orcament,receita,superavit,fundo_municipal_PC,desp_orcament_PC ,receita_PC,,
BA,2903953,Bom Jesus da Serra,10.113,6.564.361,12.138.916,15.770.595,3.631.679,649.10,1200.33,1559.44,,
BA,2904001,Boninal,13.695,7.794.034,13.826.799,19.255.521,5.428.722,569.12,1009.62,1406.03,,
BA,2904050,Bonito,14.834,6.475.509,20.989.013,23.526.166,2.537.153,436.53,1414.93,1585.96,,
BA,2904100,Boquira,22.037,9.846.541,16.237.782,24.224.172,7.986.390,446.82,736.84,1099.25,,
BA,2904209,Botuporã,11.154,6.289.730,11.522.772,17.078.614,5.555.842,563.90,1033.06,1531.16,,
BA,2904308,Brejões,14.282,6.564.361,14.773.415,19.922.654,5.149.239,459.62,1034.41,1394.95,,
BA,2904407,Brejolândia,11.077,4.923.270,7.335.635,11.345.659,4.010.024,444.46,662.24,1024.25,,
BA,2904506,Brotas de Macaúbas,10.717,6.564.361,9.972.398,16.124.964,6.152.566,612.52,930.52,1504.62,,
BA,2904605,Brumado,64.602,19.693.082,47.788.210,76.777.841,28.989.631,304.84,739.73,1188.47,,
BA,2904704,Buerarema,18.605,7.794.034,13.826.799,19.255.521,5.428.722,418.92,743.18,1034.96,,
BA,2904753,Buritirama,19.600,9.846.541,19.126.203,26.873.627,7.747.424,502.37,975.83,1371.10,,
BA,2904803,Caatiba,11.420,4.923.270,9.386.203,13.106.303,3.720.100,431.11,821.91,1147.66,,
BA,2904852,Cabaceiras do Paraguaçu,17.327,9.846.541,16.093.200,21.585.340,5.492.140,568.28,928.79,1245.76,,
BA,2904902,Cachoeira,32.026,13.128.721,20.313.474,33.670.168,13.356.694,409.94,634.28,1051.34,,
BA,2905008,Caculé,22.236,9.846.541,15.962.174,24.765.283,8.803.109,442.82,717.85,1113.75,,
BA,2905107,Caém,10.368,4.923.270,9.166.402,14.317.413,5.151.011,474.85,884.11,1380.92,,
BA,2905156,Caetanos,13.639,6.564.361,9.801.137,14.669.817,4.868.680,481.29,718.61,1075.58,,
BA,2905206,Caetité,47.515,16.410.901,38.984.147,53.936.338,14.952.191,345.38,820.46,1135.14,,
BA,2905305,Cafarnaum,17.209,9.846.541,14.318.375,22.786.056,8.467.681,572.17,832.03,1324.08,,
BA,2905404,Cairu,15.374,8.205.451,33.242.811,56.515.946,23.273.135,533.72,2162.27,3676.07,,
BA,2905503,Caldeirão Grande,12.491,8.205.451,14.897.955,20.920.313,6.022.358,656.91,1192.70,1674.83,,
BA,2905602,Camacan,31.472,13.128.721,25.563.535,34.535.320,8.971.785,417.16,812.26,1097.33,,
